sample_id,task_id,domain,condition,total_tokens,AS_private,AS_public,AS_ratio,AE,AE_norm,LP_private,AS_WHAT,AS_WHY,AS_WHO,AS_WHEN,AS_WHERE,AS_HOW_TO_DO,AS_HOW_MUCH,AS_HOW_FEEL
TR01__PRIV-ABSENT__open_weight_qwen_main,TR01,travel,PRIV-ABSENT,398,0.1734,0.1044,1.6606,2.4257,0.9384,0.4275,0.0,0.2459,0.1734,0.0994,0.0836,0.1044,0.0,0.2933
TR01__PUB-ABSENT__open_weight_qwen_main,TR01,travel,PUB-ABSENT,404,0.1538,0.0,,2.4515,0.9484,0.6645,0.0,0.2346,0.1628,0.0924,0.0831,0.0,0.1448,0.2823
TR02__FULL__open_weight_qwen_main,TR02,travel,FULL,485,0.0825,0.0609,1.3555,2.5581,0.8527,0.395,0.4203,0.1061,0.1112,0.0752,0.0472,0.0609,0.0538,0.1253
TR02__PRIV-ABSENT__open_weight_qwen_main,TR02,travel,PRIV-ABSENT,435,0.1166,0.1288,0.9057,2.4974,0.9661,0.3704,0.0,0.2439,0.0,0.1599,0.1023,0.1288,0.1166,0.2485
TR02__PUB-ABSENT__open_weight_qwen_main,TR02,travel,PUB-ABSENT,416,0.0956,0.0,,2.4311,0.866,0.3272,0.424,0.1169,0.1275,0.0862,0.0548,0.0,0.0636,0.127
TR05__FULL__open_weight_qwen_main,TR05,travel,FULL,501,0.0672,0.0577,1.1632,2.5213,0.8404,0.4907,0.4259,0.1299,0.0864,0.0653,0.0471,0.0577,0.0479,0.1396
TR05__PRIV-ABSENT__open_weight_qwen_main,TR05,travel,PRIV-ABSENT,458,0.0978,0.1217,0.8035,2.4387,0.9434,0.309,0.0,0.2927,0.0,0.1182,0.1121,0.1217,0.0978,0.2575
TR05__PUB-ABSENT__open_weight_qwen_main,TR05,travel,PUB-ABSENT,427,0.0701,0.0,,2.3802,0.8478,0.4508,0.4366,0.1382,0.0908,0.078,0.0582,0.0,0.0495,0.1488
TR08__FULL__open_weight_qwen_main,TR08,travel,FULL,574,0.0861,0.0535,1.6088,2.4757,0.8252,0.6676,0.4534,0.1245,0.0809,0.0572,0.0377,0.0535,0.0913,0.1015
TR08__PRIV-ABSENT__open_weight_qwen_main,TR08,travel,PRIV-ABSENT,494,0.1807,0.1205,1.5002,2.4817,0.9601,0.542,0.0,0.2706,0.0,0.1251,0.0857,0.1205,0.1807,0.2174
TR08__PUB-ABSENT__open_weight_qwen_main,TR08,travel,PUB-ABSENT,502,0.0936,0.0,,2.3481,0.8364,0.6905,0.463,0.1285,0.0922,0.064,0.0485,0.0,0.0951,0.1088
