sample_id,task_id,domain,condition,total_tokens,AS_private,AS_public,AS_ratio,AE,AE_norm,LP_private,AS_WHAT,AS_WHY,AS_WHO,AS_WHEN,AS_WHERE,AS_HOW_TO_DO,AS_HOW_MUCH,AS_HOW_FEEL,model_tag,priv_span_len,pub_span_len
BZ09__FULL__open_weight_qwen_main,BZ09,business,FULL,234,0.0686,0.0595,1.1532,2.4579,0.8193,0.3715,0.4307,0.0635,0.0465,0.0734,0.0387,0.0595,0.0906,0.1971,gemma3_4b,51,34
BZ09__PRIV-ABSENT__open_weight_qwen_main,BZ09,business,PRIV-ABSENT,207,0.1008,0.0639,1.5782,2.3889,0.8509,0.2919,0.4116,0.0699,0.0,0.0938,0.0486,0.0639,0.1008,0.2115,gemma3_4b,34,34
BZ09__PUB-ABSENT__open_weight_qwen_main,BZ09,business,PUB-ABSENT,193,0.0753,0.0,,2.3176,0.8255,0.3385,0.4415,0.0727,0.0498,0.0789,0.0489,0.0,0.1009,0.2073,gemma3_4b,51,0
TC01__FULL__open_weight_qwen_main,TC01,technical,FULL,211,0.0902,0.0524,1.7206,2.424,0.808,0.3431,0.4225,0.0574,0.0507,0.0412,0.0375,0.0524,0.1298,0.2086,gemma3_4b,25,33
TC01__PRIV-ABSENT__open_weight_qwen_main,TC01,technical,PRIV-ABSENT,194,0.0584,0.0671,0.8704,2.208,0.7865,0.2534,0.4644,0.0692,0.0584,0.0508,0.049,0.0671,0.0,0.241,gemma3_4b,15,33
TC01__PUB-ABSENT__open_weight_qwen_main,TC01,technical,PUB-ABSENT,171,0.0943,0.0,,2.2986,0.8188,0.3635,0.4378,0.0645,0.0561,0.0477,0.0515,0.0,0.1325,0.21,gemma3_4b,25,0
TC02__FULL__open_weight_qwen_main,TC02,technical,FULL,220,0.0798,0.1119,0.7132,2.6228,0.8743,0.3097,0.2829,0.068,0.0548,0.0598,0.0324,0.1119,0.1048,0.2855,gemma3_4b,41,31
TC02__PRIV-ABSENT__open_weight_qwen_main,TC02,technical,PRIV-ABSENT,188,0.1044,0.1039,1.0044,2.4426,0.8701,0.1828,0.3144,0.0733,0.0,0.0706,0.0356,0.1039,0.1044,0.2978,gemma3_4b,14,31
TC02__PUB-ABSENT__open_weight_qwen_main,TC02,technical,PUB-ABSENT,182,0.0983,0.0,,2.4321,0.8663,0.3592,0.3216,0.0797,0.0627,0.0695,0.0414,0.0,0.134,0.291,gemma3_4b,41,0
TC08__FULL__open_weight_qwen_main,TC08,technical,FULL,223,0.0932,0.1502,0.6201,2.4923,0.8878,0.3194,0.0,0.0937,0.0991,0.0816,0.0842,0.1502,0.0872,0.4039,gemma3_4b,44,28
TC08__PRIV-ABSENT__open_weight_qwen_main,TC08,technical,PRIV-ABSENT,188,0.0989,0.1679,0.5889,2.2485,0.8698,0.3612,0.0,0.0978,0.0989,0.0874,0.0998,0.1679,0.0,0.4482,gemma3_4b,16,28
